   110/219     2.47G   0.01128  0.004016         0    0.0153         0       256    0.8033    0.9643    0.9374     0.645   0.02754   0.01851         0
   111/219     2.47G   0.01208  0.004079         0   0.01616         0       256    0.7919    0.9643    0.9361    0.6736   0.02812   0.01857         0
   112/219     2.47G   0.01309  0.004229         0   0.01732         0       256     0.784    0.9643     0.933    0.6482   0.02777   0.01876         0
   113/219     2.47G   0.01124  0.004037         0   0.01528         0       256    0.7995    0.9643    0.9304    0.6261   0.02839   0.01957         0
   114/219     2.47G   0.01047  0.003846         0   0.01432         0       256    0.7794    0.9643    0.9266    0.6382   0.02781   0.01943         0
   115/219     2.47G   0.01086  0.003887         0   0.01474         0       256    0.7944    0.9643    0.9281    0.6396   0.02802   0.01932         0
   116/219     2.47G   0.01212  0.004051         0   0.01617         0       256    0.7725    0.9643    0.9281    0.6392   0.02779   0.01939         0
   117/219     2.47G   0.01282  0.004155         0   0.01697         0       256    0.7803    0.9643    0.9325    0.6581   0.02859   0.01967         0
   118/219     2.47G   0.01048  0.003915         0   0.01439         0       256    0.8212    0.9643    0.9303    0.6642   0.02727   0.01986         0
   119/219     2.47G  0.009826   0.00375         0   0.01358         0       256    0.8057    0.9286     0.924    0.6349    0.0284    0.0202         0
   120/219     2.47G   0.01163  0.004143         0   0.01577         0       256    0.7916    0.9286    0.9251    0.6507   0.02799   0.02021         0
   121/219     2.47G   0.01079  0.003838         0   0.01462         0       256    0.8106    0.9286    0.9268    0.6558   0.02788   0.01986         0
   122/219     2.47G   0.01158  0.003971         0   0.01556         0       256    0.7711    0.9643    0.9366     0.643   0.02799   0.01927         0
   123/219     2.47G   0.00965   0.00374         0   0.01339         0       256    0.7954    0.9643     0.934    0.6593   0.02818   0.01917         0
   124/219     2.47G   0.01089  0.003939         0   0.01483         0       256    0.7816    0.9643    0.9374    0.6631   0.02792    0.0189         0
   125/219     2.47G   0.01042  0.003767         0   0.01419         0       256    0.7936    0.9613    0.9339    0.6446   0.02778   0.01898         0
   126/219     2.47G  0.009773  0.003615         0   0.01339         0       256    0.7725    0.9643    0.9332    0.6556   0.02708   0.01881         0
   127/219     2.47G  0.008515  0.003446         0   0.01196         0       256    0.7668    0.9643    0.9359    0.6813   0.02717   0.01863         0
   128/219     2.47G  0.009761  0.003672         0   0.01343         0       256    0.7221    0.9643    0.9334    0.6648     0.027   0.01882         0
   129/219     2.47G  0.008159  0.003311         0   0.01147         0       256     0.738    0.9286     0.929    0.6528   0.02706   0.01904         0
   130/219     2.47G  0.009506  0.003416         0   0.01292         0       256    0.7469    0.9286     0.929    0.6551   0.02735   0.01919         0
   131/219     2.47G  0.008412   0.00341         0   0.01182         0       256    0.7814    0.9286    0.9195    0.6376   0.02811   0.01964         0
   132/219     2.47G  0.009257  0.003568         0   0.01283         0       256    0.7899    0.9286    0.9194    0.6442     0.028   0.02012         0
   133/219     2.47G  0.008195  0.003258         0   0.01145         0       256    0.8163    0.9286    0.9207    0.6431   0.02795    0.0202         0
   134/219     2.47G  0.008306  0.003237         0   0.01154         0       256    0.7641    0.9286     0.932    0.6677   0.02798   0.01934         0
   135/219     2.47G  0.008313   0.00324         0   0.01155         0       256    0.7723    0.9286    0.9301    0.6614   0.02775   0.01955         0
   136/219     2.47G  0.009648  0.003464         0   0.01311         0       256    0.7802    0.9286    0.9313    0.6669   0.02723   0.01946         0
   137/219     2.47G  0.008231  0.003189         0   0.01142         0       256    0.7839    0.9286    0.9283    0.6749    0.0271    0.0197         0
   138/219     2.47G  0.007167  0.003066         0   0.01023         0       256    0.7784    0.9643     0.931    0.6732   0.02652   0.01927         0
