   123/299     2.42G   0.01365   0.01066         0   0.02431         2       256    0.8105    0.9286    0.9269    0.5686   0.02041   0.01687         0
   124/299     2.42G   0.01286  0.009244         0    0.0221         1       256      0.88    0.9286    0.9317    0.5619    0.0198   0.01604         0
   125/299     2.42G   0.01496   0.01132         0   0.02628         0       256    0.9233    0.9286     0.939    0.6076   0.01931   0.01487         0
   126/299     2.42G   0.01326   0.01072         0   0.02398         0       256    0.9059    0.9643    0.9625    0.5976   0.01879   0.01326         0
   127/299     2.42G   0.01272  0.009683         0    0.0224         2       256    0.8605    0.9643    0.9599    0.6109   0.01942   0.01367         0
   128/299     2.42G    0.0141    0.0104         0    0.0245         0       256    0.8906    0.9643    0.9599    0.6494   0.01834   0.01361         0
   129/299     2.42G   0.01444  0.009921         0   0.02436         0       256    0.8505    0.9286    0.9479    0.6023   0.01869   0.01473         0
   130/299     2.42G   0.01362   0.01101         0   0.02463         0       256    0.8155    0.9286    0.9288    0.6142   0.01897   0.01564         0
   131/299     2.42G   0.01438   0.01073         0   0.02512         1       256    0.7696    0.9286    0.9186    0.5988   0.01955   0.01683         0
   132/299     2.42G   0.01479   0.01111         0    0.0259         0       256    0.7221    0.9643    0.9542    0.6164    0.0191    0.0153         0
   133/299     2.42G   0.01302  0.009672         0   0.02269         1       256    0.8488    0.9286    0.9568    0.6247   0.01946   0.01449         0
   134/299     2.42G   0.01396   0.01023         0   0.02419         0       256    0.8578    0.9286    0.9381    0.6496    0.0194   0.01428         0
   135/299     2.42G   0.01394   0.01054         0   0.02448         1       256    0.8144    0.9286    0.9338    0.6127   0.01966   0.01504         0
   136/299     2.42G   0.01925   0.01277         0   0.03203         2       256    0.8848    0.9286    0.9224    0.6096   0.02066   0.01642         0
   137/299     2.42G   0.01537   0.01083         0    0.0262         0       256    0.8164    0.9286     0.935    0.6029   0.01956   0.01625         0
   138/299     2.42G   0.01407   0.01061         0   0.02468         1       256    0.8293    0.9286    0.9422    0.6034   0.02001   0.01518         0
   139/299     2.42G   0.01177  0.008608         0   0.02038         0       256    0.8728    0.9286    0.9377     0.604   0.01916   0.01563         0
   140/299     2.42G   0.01436  0.009565         0   0.02393         0       256    0.8394    0.9286    0.9341    0.5961   0.01911   0.01487         0
   141/299     2.42G   0.01513   0.01074         0   0.02586         2       256     0.814    0.9286    0.9297    0.6381   0.01899   0.01495         0
   142/299     2.42G   0.01315   0.00987         0   0.02302         0       256      0.79    0.9286    0.9307    0.6055   0.01909   0.01608         0
   143/299     2.42G   0.01475    0.0106         0   0.02535         2       256    0.7928    0.9286    0.9286     0.617   0.01826   0.01531         0
   144/299     2.42G   0.01426   0.01116         0   0.02542         1       256    0.8991    0.9286     0.925    0.6036   0.01922   0.01653         0
   145/299     2.42G    0.0127   0.01036         0   0.02306         0       256    0.8978    0.9286    0.9239    0.6318   0.01864   0.01595         0
   146/299     2.42G    0.0116  0.009286         0   0.02088         0       256    0.9038    0.9286    0.9239    0.6066   0.01972   0.01637         0
   147/299     2.42G   0.01363  0.009773         0    0.0234         1       256    0.8996    0.9286    0.9239    0.6024   0.01942   0.01557         0
   148/299     2.42G    0.0132  0.009973         0   0.02317         2       256    0.8944    0.8929    0.9219    0.6257   0.01902   0.01628         0
   149/299     2.42G   0.01239  0.009309         0    0.0217         2       256    0.9263    0.8929    0.9202    0.6057   0.01913   0.01633         0
   150/299     2.42G   0.01266  0.008679         0   0.02134         2       256    0.7924    0.9545    0.9537    0.6066   0.01888   0.01557         0
   151/299     2.42G   0.01216   0.00907         0   0.02123         2       256    0.7643    0.9643    0.9547    0.6376   0.01806   0.01434         0
   152/299     2.42G   0.01372  0.009226         0   0.02295         0       256    0.7736    0.8929    0.9369     0.629   0.01867   0.01621         0
   153/299     2.42G   0.01327  0.009928         0    0.0232         0       256    0.7481    0.9643    0.9625    0.6294   0.01873   0.01396         0
   154/299     2.42G   0.01302  0.008942         0   0.02197         0       256    0.8349    0.9643    0.9599    0.6342   0.01847   0.01494         0
   155/299     2.42G   0.01338   0.01097         0   0.02435         0       256    0.8764    0.9286    0.9479    0.6362   0.01836   0.01564         0
   156/299     2.42G   0.01265  0.009512         0   0.02216         0       256    0.7783    0.9286    0.9367    0.6447   0.01781   0.01529         0
   157/299     2.42G   0.01295   0.00964         0   0.02259         1       256    0.7479    0.9286     0.935    0.5926   0.01877   0.01637         0
   158/299     2.42G   0.01274  0.009763         0    0.0225         0       256    0.8405    0.9286     0.925    0.6233    0.0203   0.01686         0
   159/299     2.42G   0.01193  0.009675         0   0.02161         0       256    0.7442    0.9286     0.925    0.6026    0.0206   0.01817         0
   160/299     2.42G   0.01276   0.01083         0   0.02359         2       256    0.7166    0.9286     0.925    0.6328   0.01912   0.01655         0
   161/299     2.42G   0.01199   0.01019         0   0.02218         0       256     0.693    0.9286    0.9315    0.6062   0.01884   0.01655         0
   162/299     2.42G   0.01096  0.008809         0   0.01977         1       256     0.773    0.9286    0.9305    0.6235   0.01816   0.01575         0
   163/299     2.42G   0.01155  0.009395         0   0.02094         0       256    0.7948    0.9286    0.9239    0.6322   0.01877   0.01689         0
   164/299     2.42G   0.01262  0.007706         0   0.02033         1       256    0.8492    0.9286    0.9239    0.5901   0.01945   0.01735         0
   165/299     2.42G   0.01186  0.008757         0   0.02062         0       256     0.832    0.9286     0.934     0.647   0.01784   0.01552         0
   166/299     2.42G   0.01316   0.01106         0   0.02422         3       256     0.768    0.9286    0.9542    0.6499   0.01883   0.01545         0
   167/299     2.42G   0.01122  0.007975         0   0.01919         0       256    0.6771    0.9286    0.9513    0.6354   0.01733   0.01457         0
   168/299     2.42G   0.01148   0.01005         0   0.02153         0       256     0.754    0.9286    0.9446    0.6781   0.01743    0.0145         0
   169/299     2.42G   0.01063  0.008151         0   0.01878         2       256    0.8049    0.9286    0.9195    0.6354   0.01892   0.01633         0
   170/299     2.42G   0.01182   0.01015         0   0.02197         2       256    0.7049    0.9286    0.9397    0.6298    0.0186   0.01562         0
   171/299     2.42G   0.01076  0.009089         0   0.01985         0       256    0.6838    0.9286    0.9463    0.6428   0.01899   0.01542         0
