    95/219     1.37G  0.008803  0.004228         0   0.01303         0       256    0.6694    0.9286    0.9102    0.5114    0.0261   0.02163         0
    96/219     1.37G   0.01018  0.004585         0   0.01477         0       256    0.6658    0.9286    0.9118    0.5541   0.02501   0.02196         0
    97/219     1.37G   0.01033  0.004482         0   0.01482         0       256    0.7151    0.9286    0.9077    0.5331   0.02648   0.02285         0
    98/219     1.37G  0.009797  0.004388         0   0.01419         0       256    0.7487    0.9286    0.9197    0.6011   0.02415   0.02214         0
    99/219     1.37G  0.009434  0.004473         0   0.01391         0       256    0.7099    0.9286    0.9145    0.5831   0.02474   0.02148         0
   100/219     1.37G   0.01116  0.004699         0   0.01586         0       256    0.7014    0.8929    0.9069     0.577   0.02509   0.02174         0
   101/219     1.37G  0.008296  0.004048         0   0.01234         0       256    0.6968    0.8929    0.9028    0.6019   0.02415   0.02231         0
   102/219     1.37G  0.008039  0.003934         0   0.01197         0       256    0.6861    0.8929    0.9033    0.5615   0.02495   0.02159         0
   103/219     1.37G  0.008609  0.004051         0   0.01266         0       256    0.6684    0.8929    0.8952    0.5797   0.02499   0.02226         0
   104/219     1.37G  0.008693   0.00409         0   0.01278         0       256     0.635    0.8929    0.8878     0.591   0.02532   0.02348         0
   105/219     1.37G  0.008236  0.003915         0   0.01215         0       256    0.6288    0.8929    0.8755    0.5183   0.02658   0.02362         0
   106/219     1.37G  0.008855  0.003998         0   0.01285         0       256    0.6958    0.8929     0.886    0.5782   0.02435   0.02296         0
   107/219     1.37G  0.007214  0.003732         0   0.01095         0       256    0.6823    0.8929    0.8872    0.5397   0.02539   0.02229         0
   108/219     1.37G  0.009496  0.004119         0   0.01362         0       256    0.6464    0.8929    0.8862    0.5847   0.02551   0.02254         0
   109/219     1.37G  0.009102  0.004067         0   0.01317         0       256    0.6538    0.8929    0.8742    0.5324    0.0263    0.0236         0
   110/219     1.37G  0.009738  0.004289         0   0.01403         0       256    0.7234    0.8929    0.8944    0.5597   0.02554   0.02417         0
   111/219     1.37G  0.007609  0.003877         0   0.01149         0       256    0.7405    0.8929    0.8967    0.5563   0.02569   0.02358         0
   112/219     1.37G  0.007576  0.003784         0   0.01136         0       256    0.7584    0.8929    0.9041    0.5532   0.02577    0.0229         0
   113/219     1.37G   0.00887  0.003985         0   0.01285         0       256    0.7453    0.8929    0.9054    0.5794   0.02496   0.02258         0
   114/219     1.37G  0.007319  0.003636         0   0.01096         0       256    0.7473    0.8929    0.9075      0.56   0.02599   0.02278         0
   115/219     1.37G  0.008077  0.003794         0   0.01187         0       256    0.6652    0.8929    0.8973    0.5689   0.02558   0.02321         0
   116/219     1.37G  0.007717    0.0038         0   0.01152         0       256    0.7147    0.8929    0.8958    0.5518   0.02655   0.02367         0
   117/219     1.37G  0.008404  0.003902         0   0.01231         0       256    0.6664    0.8929    0.8999    0.5753   0.02564   0.02326         0
   118/219     1.37G  0.007974  0.003641         0   0.01161         0       256     0.712    0.8929    0.9073     0.571   0.02503   0.02278         0
   119/219     1.37G  0.006876  0.003536         0   0.01041         0       256    0.6714    0.8929    0.9078    0.5968   0.02453   0.02211         0
   120/219     1.37G  0.008194  0.003739         0   0.01193         0       256    0.6706    0.8929    0.9063    0.6005   0.02461   0.02225         0
   121/219     1.37G  0.007767  0.003609         0   0.01138         0       256    0.6189    0.8929    0.8974    0.5894   0.02509    0.0229         0
   122/219     1.37G  0.006858   0.00353         0   0.01039         0       256    0.6521    0.8929    0.9125    0.5961   0.02498   0.02308         0
   123/219     1.37G   0.00655  0.003379         0  0.009929         0       256    0.6589    0.8929    0.9032    0.5619   0.02588   0.02332         0
   124/219     1.37G  0.007325   0.00354         0   0.01087         0       256    0.6606    0.8929     0.904    0.5799   0.02567   0.02337         0
   125/219     1.37G  0.007347  0.003538         0   0.01088         0       256    0.6835    0.8929    0.9059    0.5612   0.02561   0.02305         0
   126/219     1.37G  0.006627  0.003325         0  0.009952         0       256    0.6787    0.8929    0.9082    0.5807   0.02513   0.02266         0
   127/219     1.37G  0.006389  0.003325         0  0.009714         0       256    0.6454    0.8929    0.9048    0.5766   0.02529   0.02232         0
   128/219     1.37G  0.007333  0.003554         0   0.01089         0       256    0.6306    0.8929    0.9039    0.5773   0.02577   0.02237         0
   129/219     1.37G  0.007166  0.003514         0   0.01068         0       256    0.7184    0.8929    0.9036    0.5521   0.02585   0.02268         0
   130/219     1.37G  0.006935  0.003456         0   0.01039         0       256    0.7009    0.8929    0.9068    0.5883   0.02521   0.02286         0
   131/219     1.37G  0.005349  0.003046         0  0.008395         0       256    0.7152    0.8929    0.9025    0.5778   0.02464   0.02278         0
   132/219     1.37G   0.00829  0.003678         0   0.01197         0       256    0.6706    0.8929    0.9017    0.6009   0.02466   0.02256         0
   133/219     1.37G  0.006379  0.003257         0  0.009636         0       256    0.6401    0.8929    0.9034    0.6008   0.02484    0.0228         0
   134/219     1.37G  0.007195  0.003374         0   0.01057         0       256     0.705    0.8929    0.9007    0.5819   0.02503   0.02281         0
